,peak_X0,peak_Y0
event_0,104.0,-67.2
event_1,103.0,-31.2
event_2,103.0,-65.99999999999999
event_3,102.0,-27.599999999999994
event_4,104.0,-76.8
event_5,104.0,-76.8
event_6,104.0,-78.0
event_7,103.0,-50.39999999999999
event_8,105.0,-98.4
event_9,104.0,-76.8
event_10,103.0,-26.399999999999995
event_11,104.0,-46.8
event_12,104.0,-61.2
event_13,103.0,-25.2
event_14,104.0,-45.6
event_15,103.0,-88.79999999999998
event_16,104.0,-78.0
event_17,103.0,-37.2
event_18,104.0,-75.59999999999998
event_19,104.0,-91.2
event_20,104.0,-50.39999999999999
event_21,104.0,-81.6
event_22,104.0,-60.0
event_23,104.0,-112.79999999999998
event_24,104.0,-88.79999999999998
event_25,104.0,-61.2
event_26,104.0,-106.8
event_27,104.0,-109.2
event_28,103.0,-37.2
event_29,105.0,-112.79999999999998
event_30,104.0,-67.2
event_31,104.0,-115.2
event_32,104.0,-103.2
event_33,104.0,-68.39999999999999
event_34,104.0,-80.4
event_35,104.0,-68.39999999999999
event_36,104.0,-72.0
event_37,105.0,-90.0
event_38,104.0,-37.2
event_39,104.0,-111.6
event_40,104.0,-174.0
event_41,104.0,-43.2
event_42,103.0,-36.0
event_43,104.0,-46.8
event_44,104.0,-129.6
event_45,103.0,-38.4
event_46,103.0,-43.2
event_47,104.0,-166.79999999999998
event_48,103.0,-32.4
event_49,104.0,-64.8
event_50,103.0,-30.0
event_51,104.0,-103.2
event_52,104.0,-70.79999999999998
event_53,104.0,-40.8
event_54,104.0,-98.4
event_55,104.0,-99.6
event_56,104.0,-41.99999999999999
event_57,104.0,-182.4
event_58,104.0,-73.19999999999999
event_59,104.0,-63.59999999999999
event_60,104.0,-62.4
event_61,104.0,-102.0
event_62,104.0,-44.39999999999999
event_63,104.0,-90.0
event_64,103.0,-36.0
event_65,104.0,-63.59999999999999
event_66,104.0,-94.8
event_67,103.0,-38.4
event_68,104.0,-45.6
event_69,104.0,-68.39999999999999
event_70,104.0,-45.6
event_71,103.0,-37.2
event_72,104.0,-63.59999999999999
event_73,104.0,-75.59999999999998
event_74,104.0,-53.99999999999999
event_75,104.0,-161.99999999999997
event_76,104.0,-55.19999999999999
event_77,104.0,-98.4
event_78,103.0,-43.2
event_79,103.0,-27.599999999999994
event_80,104.0,-47.99999999999999
event_81,104.0,-99.6
event_82,104.0,-112.79999999999998
event_83,104.0,-78.0
event_84,104.0,-184.8
event_85,104.0,-41.99999999999999
event_86,103.0,-58.8
event_87,104.0,-99.6
event_88,103.0,-43.2
event_89,103.0,-45.6
event_90,104.0,-63.59999999999999
event_91,103.0,-43.2
event_92,104.0,-73.19999999999999
event_93,105.0,-131.99999999999997
event_94,103.0,-28.8
event_95,104.0,-57.6
event_96,103.0,-49.2
event_97,104.0,-127.19999999999996
event_98,104.0,-118.79999999999998
event_99,105.0,-129.6
event_100,104.0,-79.19999999999999
event_101,104.0,-114.0
event_102,103.0,-40.8
event_103,104.0,-69.6
event_104,104.0,-98.4
